,keys,card
290,Synset('ligule.n.01'),1
291,Synset('lobe.n.02'),1
292,Synset('mycelium.n.01'),1
293,Synset('plant_organ.n.01'),128
294,Synset('pollen_tube.n.01'),1
295,Synset('pycnidium.n.01'),1
296,Synset('stipule.n.01'),1
297,Synset('stub.n.01'),1
298,Synset('tendril.n.01'),1
299,Synset('thallus.n.01'),1
300,Synset('volva.n.01'),1
301,Synset('bedrock.n.01'),1
302,Synset('calculus.n.01'),1
303,Synset('clastic_rock.n.01'),1
304,Synset('intrusion.n.04'),1
305,Synset('pebble.n.01'),1
306,Synset('sill.n.02'),1
307,Synset('tor.n.01'),1
308,Synset('whinstone.n.01'),1
309,Synset('hairball.n.01'),1
310,Synset('adenovirus.n.01'),1
311,Synset('arenavirus.n.01'),1
312,Synset('filovirus.n.01'),1
313,Synset('hepadnavirus.n.01'),1
314,Synset('lyssavirus.n.01'),1
315,Synset('papovavirus.n.01'),1
316,Synset('picornavirus.n.01'),2
317,Synset('reovirus.n.01'),1
318,Synset('rhabdovirus.n.01'),1
319,Synset('coliphage.n.01'),1
320,Synset('cosmid.n.01'),1
321,Synset('holding_pattern.n.02'),1
322,Synset('course.n.03'),1
323,Synset('north-south_direction.n.01'),1
324,Synset('tendency.n.04'),1
325,Synset('descending_node.n.01'),1
326,Synset('lookout.n.02'),1
327,Synset('stage_right.n.01'),1
328,Synset('antigenic_determinant.n.01'),1
329,Synset('locus.n.02'),1
330,Synset('restriction_site.n.01'),1
331,Synset('hideout.n.01'),1
332,Synset('interchange.n.01'),1
333,Synset('railway_junction.n.01'),1
334,Synset('traffic_circle.n.01'),1
335,Synset('mountain_peak.n.01'),1
336,Synset('bus_stop.n.01'),1
337,Synset('loading_zone.n.01'),1
338,Synset('island.n.02'),1
339,Synset('city_center.n.01'),1
340,Synset('hub.n.02'),1
341,Synset('medical_center.n.01'),1
342,Synset('midstream.n.01'),1
343,Synset('storm_center.n.02'),1
344,Synset('ashram.n.01'),1
345,Synset('nest.n.03'),1
346,Synset('pleasance.n.01'),1
347,Synset('darkness.n.02'),1
348,Synset('light.n.05'),1
349,Synset('venue.n.01'),1
350,Synset('canton.n.02'),1
351,Synset('commune.n.01'),1
352,Synset('county.n.02'),1
353,Synset('department.n.02'),1
354,Synset('municipality.n.01'),3
355,Synset('reservation.n.01'),2
356,Synset('shire.n.01'),1
357,Synset('township.n.01'),1
358,Synset('barbary_coast.n.01'),1
359,Synset('combat_zone.n.01'),1
360,Synset('ghetto.n.03'),1
361,Synset('precinct.n.01'),1
362,Synset('red-light_district.n.01'),1
363,Synset('turf.n.02'),1
364,Synset('housing_development.n.01'),1
365,Synset('exurbia.n.01'),1
366,Synset('suburb.n.01'),1
367,Synset('uptown.n.01'),1
368,Synset('crown_colony.n.01'),1
369,Synset('retention_basin.n.01'),1
370,Synset('barrio.n.02'),1
371,Synset('megalopolis.n.01'),1
372,Synset('new_town.n.01'),1
373,Synset('time_zone.n.01'),1
374,Synset('acentric_chromosome.n.01'),1
375,Synset('autosome.n.01'),1
376,Synset('sex_chromosome.n.01'),1
377,Synset('coprolith.n.01'),1
378,Synset('mat.n.04'),1
379,Synset('asteroid.n.01'),1
380,Synset('galilean_satellite.n.01'),1
381,Synset('starlet.n.02'),1
382,Synset('falls.n.01'),1
383,Synset('squama.n.01'),1
384,Synset('oyster_shell.n.01'),1
385,Synset('scallop_shell.n.01'),1
386,Synset('valve.n.04'),1
387,Synset('laticifer.n.01'),1
388,Synset('archegonium.n.01'),1
389,Synset('cup.n.05'),1
390,Synset('galea.n.01'),1
391,Synset('hypanthium.n.01'),1
392,Synset('leaf.n.01'),12
393,Synset('nectary.n.01'),1
394,Synset('reproductive_structure.n.01'),91
395,Synset('root_cap.n.01'),1
396,Synset('septum.n.02'),1
397,Synset('stalk.n.02'),14
